fold,epoch,train_loss,val_loss
1,1,0.17167584514630604,0.1549657403154576
1,2,0.1558621401525365,0.15568976453010072
1,3,0.15623247228867038,0.15552007955439548
1,4,0.15628095804130893,0.1546598233441089
1,5,0.1555627753980649,0.15504032963133874
1,6,0.15562090094157047,0.15460105056458331
1,7,0.1555625565616608,0.1553448980158948
1,8,0.15537601030995388,0.15565347278371772
1,9,0.1556327996228283,0.15443853875424
1,10,0.15539028098496338,0.15642853284135777
1,11,0.15545056333034846,0.15557869488888598
1,12,0.1554168656771607,0.15430366840768367
1,13,0.15529297419860494,0.15473887971106995
1,14,0.15527388548213666,0.15424700354007964
1,15,0.15537746093076252,0.15430396326044774
1,16,0.15514974222568173,0.15429311375668708
1,17,0.15521015211184747,0.1550155983326283
1,18,0.15523444145248044,0.15433287227407416
1,19,0.15510257594024807,0.1542454349867841
1,20,0.15513024848459375,0.15422844379506212
2,1,0.16997419956049428,0.15440565816899562
2,2,0.15651839790603933,0.15512966729224997
2,3,0.1562659262992518,0.1544224457537874
2,4,0.15585745142953386,0.15423235284521225
2,5,0.1561058868292022,0.15416390876820746
2,6,0.15569946070366802,0.15412283508067434
2,7,0.1554907833599223,0.15407500679188588
2,8,0.1556002608951157,0.1543827734094985
2,9,0.15563301254752024,0.15417274223997238
2,10,0.15563620499892983,0.15445328456290225
2,11,0.1555669993372226,0.15395889611954386
2,12,0.1554054285553577,0.15581466587299997
2,13,0.1554033697416434,0.15410182349225307
2,14,0.15544885747934342,0.15410089404024976
2,15,0.1553743216134177,0.15391691828027684
2,16,0.1552355467167318,0.15388153575836344
2,17,0.15525385302612005,0.1539031134006825
2,18,0.15532906177886102,0.1538090688751099
2,19,0.1552146544266546,0.1541524810993925
2,20,0.15524773317332088,0.1539969321895153
3,1,0.17202038522341542,0.15570244066258696
3,2,0.15587860680962992,0.1577453906231738
3,3,0.15581440707996402,0.15585458107451175
3,4,0.15557597566671963,0.15603289762710004
3,5,0.15557816318056814,0.15537711546776142
3,6,0.1555676574457483,0.15534111977891718
3,7,0.15533421750334384,0.15525756624150783
3,8,0.15536494797445197,0.1552261415948259
3,9,0.15544283683153523,0.1554751106399171
3,10,0.15526763488993015,0.15516651862479272
3,11,0.15505652098932202,0.15551661392475696
3,12,0.1551680287983145,0.15512866954854193
3,13,0.15510949784968345,0.15510349920455446
3,14,0.1550625482523817,0.15576280805658788
3,15,0.15515386419919977,0.15591234647213145
3,16,0.15495616608215212,0.1550830547479873
3,17,0.15489360498873092,0.15507588608467832
3,18,0.15504742459637924,0.15520810586340883
3,19,0.1549757158348798,0.15505103544985993
3,20,0.1549140583753015,0.15504733159186992
4,1,0.17111810072334954,0.1564230738168067
4,2,0.15566553176242093,0.15654010696614043
4,3,0.15561648653350718,0.15702790877920517
4,4,0.1555159831101756,0.15678508269025923
4,5,0.15538138013235478,0.1564237524220284
4,6,0.15532119992304425,0.15655299526579836
4,7,0.1554545419146238,0.1564716326429489
4,8,0.15500108177697727,0.15622253151650126
4,9,0.1553078909724265,0.1570350740818267
4,10,0.15506991550617671,0.15622697745231873
4,11,0.1549840497318965,0.15616402315332534
4,12,0.1548710236434116,0.1561420606171831
4,13,0.15488141751944154,0.15638034686129143
4,14,0.15478084045436918,0.1559746338331953
4,15,0.15476495739801369,0.1560232123161884
4,16,0.15476016519923907,0.1559951572976214
4,17,0.15480081812349908,0.1559801921565482
4,18,0.15471796560024292,0.15606248492890215
4,19,0.15471769290443493,0.15601299563620952
4,20,0.15478451122928766,0.15591420334704378
5,1,0.17103855007506433,0.15810528959030162
5,2,0.15594866605515176,0.15674231723625018
5,3,0.1555983451452661,0.15605431392257552
5,4,0.15546085390638797,0.1557654012321728
5,5,0.15560327609802815,0.15590931393479718
5,6,0.1554978551382714,0.15561829802360605
5,7,0.15525837337717097,0.15622979244727794
5,8,0.15520961696797228,0.15568164102792614
5,9,0.15542721279123997,0.15561656542855923
5,10,0.15517520118266978,0.15605410317304985
5,11,0.15522085973557007,0.15546293150655383
5,12,0.1550565114680757,0.15546533596236506
5,13,0.1549578421927513,0.15613782193319414
5,14,0.15523014036898916,0.15627173897019722
5,15,0.15493596456152328,0.15552322173163002
5,16,0.1549038589000702,0.15540467488156665
5,17,0.15482134597098574,0.155326291561888
5,18,0.15487621109536354,0.15597604730619022
5,19,0.15480997004407518,0.15529956014756513
5,20,0.15480247495022226,0.15529212519772323
