fold,mse,corr,base_mse,base_corr
1,0.15422844886779785,0.7556236386299133,0.15425342321395874,0.7557818293571472
2,0.15399694442749023,0.7563368678092957,0.15386882424354553,0.756460964679718
3,0.15504734218120575,0.7541607618331909,0.15516509115695953,0.7542505264282227
4,0.15591420233249664,0.7533882856369019,0.15601925551891327,0.7535170912742615
5,0.15529213845729828,0.754008948802948,0.15541784465312958,0.7541043758392334
